RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         6536     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   73     1    43  con    0  1.0D+00  6.3D+04  4.456D+00  8.921D+09
   73   74     1    43  con    0  1.0D+00  8.8D+04  2.649D+00  8.921D+09
   74   75     1    43  con    0  1.0D+00  1.1D+05  5.681D+00  8.921D+09
   75   76     1    43  con    0  1.0D+00  4.9D+04  4.693D+00  8.921D+09
   76   77     1    43  con    0  1.0D+00  1.9D+04  3.202D+00  8.921D+09
   77   78     1    43  con    0  1.0D+00  4.4D+04  3.653D+00  8.921D+09
   78   79     1    43  con    0  1.0D+00  8.0D+04  4.382D+00  8.921D+09
   79   80     1    43  con    0  1.0D+00  8.7D+04  2.945D+00  8.920D+09
   80   81     1    43  con    0  1.0D+00  1.1D+05  5.668D+00  8.920D+09
   81   82     1    43  con    0  1.0D+00  5.7D+04  5.007D+00  8.920D+09
   82   83     1    43  con    0  1.0D+00  1.7D+04  4.158D+00  8.920D+09
   83   84     1    43  con    0  1.0D+00  3.3D+04  2.685D+00  8.920D+09
   84   85     1    43  con    0  1.0D+00  4.6D+04  4.858D+00  8.920D+09
   85   86     1    43  con    0  1.0D+00  3.6D+04  3.993D+00  8.920D+09
   86   87     1    43  con    0  1.0D+00  6.0D+04  2.255D+00  8.920D+09
   87   88     1    43  con    0  1.0D+00  5.5D+04  5.378D+00  8.920D+09
   88   89     1    43  con    0  1.0D+00  2.2D+04  3.571D+00  8.920D+09
   89   90     1    43  con    0  1.0D+00  3.2D+04  3.116D+00  8.920D+09
   90   91     1    43  con    0  1.0D+00  2.8D+04  3.653D+00  8.920D+09
   91   92     1    43  con    0  1.0D+00  1.8D+04  2.708D+00  8.920D+09
   92   93     1    43  con    0  1.0D+00  4.1D+04  3.232D+00  8.919D+09
   93   94     1    43  con    0  1.0D+00  4.0D+04  4.403D+00  8.919D+09
   94   95     1    43  con    0  1.0D+00  4.0D+04  2.520D+00  8.919D+09
   95   96     1    43  con    0  1.0D+00  3.5D+04  2.604D+00  8.919D+09
   96   97     1    43  con    0  1.0D+00  3.3D+04  2.873D+00  8.919D+09
   97   98     1    43  con    0  1.0D+00  2.6D+04  2.677D+00  8.919D+09
   98   99     1    43  con    0  1.0D+00  4.7D+04  2.952D+00  8.919D+09
   99  100     1    43  con    0  1.0D+00  3.2D+04  2.740D+00  8.919D+09
  100  101     1    43  con    0  1.0D+00  2.0D+04  2.469D+00  8.919D+09
  101  102     1    43  con    0  1.0D+00  2.5D+04  1.785D+00  8.919D+09
  102  103     1    43  con    0  1.0D+00  3.2D+04  2.306D+00  8.919D+09
  103  104     1    43  con    0  1.0D+00  3.4D+04  2.367D+00  8.919D+09
  104  105     1    43  con    0  1.0D+00  3.2D+04  2.393D+00  8.919D+09
  105  106     1    43  con    0  1.0D+00  1.7D+04  1.912D+00  8.919D+09
  106  107     1    43  con    0  1.0D+00  2.0D+04  2.492D+00  8.919D+09
  107  108     1    43  con    0  1.0D+00  3.3D+04  2.959D+00  8.919D+09
  108  109     1    43  con    0  1.0D+00  2.2D+04  2.647D+00  8.919D+09
  109  110     1    43  con    0  1.0D+00  3.5D+04  2.652D+00  8.919D+09
  110  111     1    43  con    0  1.0D+00  1.9D+04  2.395D+00  8.919D+09
  111  112     1    43  con    0  1.0D+00  2.0D+04  1.750D+00  8.919D+09
  112  113     1    43  con    0  1.0D+00  3.2D+04  2.484D+00  8.919D+09
  113  114     1    43  con    0  1.0D+00  2.7D+04  3.380D+00  8.919D+09
  114  115     1    43  con    0  1.0D+00  2.2D+04  1.896D+00  8.919D+09
  115  116     1    43  con    0  1.0D+00  2.2D+04  1.876D+00  8.919D+09
  116  117     1    43  con    0  1.0D+00  2.8D+04  2.871D+00  8.919D+09
  117  118     1    43  con    0  1.0D+00  2.1D+04  2.214D+00  8.919D+09
  118  119     1    43  con    0  1.0D+00  2.5D+04  2.111D+00  8.919D+09
  119  120     1    43  con    0  1.0D+00  2.8D+04  2.585D+00  8.918D+09
  120  121     1    43  con    0  1.0D+00  2.3D+04  2.052D+00  8.918D+09
  121  122     1    43  con    0  1.0D+00  3.0D+04  1.971D+00  8.918D+09
  122  123     1    43  con    0  1.0D+00  2.2D+04  2.852D+00  8.918D+09
  123  124     1    43  con    0  1.0D+00  1.5D+04  1.525D+00  8.918D+09
  124  125     1    43  con    0  1.0D+00  3.6D+04  2.444D+00  8.918D+09
  125  126     1    43  con    0  1.0D+00  2.5D+04  2.989D+00  8.918D+09
  126  127     1    43  con    0  1.0D+00  8.3D+03  2.529D+00  8.918D+09
  127  128     1    43  con    0  1.0D+00  2.7D+04  1.743D+00  8.918D+09
  128  129     1    43  con    0  1.0D+00  2.6D+04  4.251D+00  8.918D+09
  129  130     1    43  con    0  1.0D+00  2.8D+04  1.452D+00  8.918D+09
  130  131     1    43  con    0  1.0D+00  3.8D+04  2.570D+00  8.918D+09
  131  132     1    43  con    0  1.0D+00  2.2D+04  2.858D+00  8.918D+09
  132  133     1    43  con    0  1.0D+00  7.4D+03  2.301D+00  8.918D+09
  133  134     1    43  con    0  1.0D+00  2.7D+04  2.442D+00  8.918D+09
  134  135     1    43  con    0  1.0D+00  3.5D+04  3.254D+00  8.918D+09
  135  136     1    43  con    0  1.0D+00  9.9D+03  1.657D+00  8.918D+09
  136  137     1    43  con    0  1.0D+00  2.6D+04  2.843D+00  8.918D+09
  137  138     1    43  con    0  1.0D+00  2.4D+04  3.250D+00  8.918D+09
  138  139     1    43  con    0  1.0D+00  3.2D+04  1.415D+00  8.918D+09
  139  140     1    43  con    0  1.0D+00  3.1D+04  2.054D+00  8.918D+09
  140  141     1    43  con    0  1.0D+00  1.3D+04  1.499D+00  8.918D+09
  141  142     1    43  con    0  1.0D+00  7.8D+03  1.117D+00  8.918D+09
  142  143     1    43  con    0  1.0D+00  1.7D+04  1.486D+00  8.918D+09
  143  144     1    43  con    0  1.0D+00  2.8D+04  2.105D+00  8.918D+09
  144  145     1    43  con    0  1.0D+00  2.6D+04  1.890D+00  8.918D+09
  145  146     1    43  con    0  1.0D+00  2.7D+04  9.226D-01  8.918D+09
  146  147     1    43  con    0  1.0D+00  2.9D+04  2.063D+00  8.918D+09
  147  148     1    43  con    0  1.0D+00  2.4D+04  1.794D+00  8.918D+09
  148  149     1    43  con    0  1.0D+00  1.0D+04  1.514D+00  8.918D+09
  149  150     1    43  con    0  1.0D+00  8.2D+03  1.130D+00  8.918D+09
  150  151     1    43  con    0  1.0D+00  1.2D+04  1.855D+00  8.918D+09
